date,cases_fl,cases_ca
2020-11-01 00:00:00,22.65136219891323,9.199684867135923
2020-11-02 00:00:00,21.654981621201525,13.307274561595786
2020-11-03 00:00:00,21.589797845089546,13.266780763005919
2020-11-04 00:00:00,20.593417267377845,13.264249900594052
2020-11-05 00:00:00,29.132491938047288,15.843198698286349
2020-11-06 00:00:00,24.4206361219527,16.989679370862024
2020-11-07 00:00:00,20.728440803609804,13.170607991354977
2020-11-08 00:00:00,31.753810934550504,15.29400155491125
2020-11-09 00:00:00,18.27008124738654,17.093444729748565
2020-11-10 00:00:00,20.26749838681794,22.127330066951686
2020-11-11 00:00:00,27.181634638695876,13.051657457997237
2020-11-12 00:00:00,26.10610233284819,24.52152590857771
2020-11-13 00:00:00,32.27993712745435,24.96695769306627
2020-11-14 00:00:00,21.156791332345676,20.155788248107427
2020-11-15 00:00:00,47.04871840082593,22.689181522386125
2020-11-16 00:00:00,21.71085342929751,28.798683384632646
2020-11-17 00:00:00,34.72898471566162,27.171338853802276
2020-11-18 00:00:00,36.898673263388964,28.904979605931057
2020-11-19 00:00:00,42.299614712667356,33.29855675293187
2020-11-20 00:00:00,42.299614712667356,34.74114832769596
2020-11-21 00:00:00,39.1521695232603,34.02238340272579
2020-11-22 00:00:00,30.66896666068683,22.291836123723034
2020-11-23 00:00:00,29.477034754639188,45.08731386740756
2020-11-24 00:00:00,39.83194318842809,41.855402567453616
2020-11-25 00:00:00,38.99852205099634,35.79651795344443
2020-11-26 00:00:00,0.0,22.747391357859062
2020-11-27 00:00:00,80.75338663472786,42.85762408255289
2020-11-28 00:00:00,29.22561161820726,33.42509987352521
2020-11-29 00:00:00,34.28201025089375,33.45293936005575
2020-11-30 00:00:00,31.00419750926273,44.78614124039541
2020-12-01 00:00:00,41.191490518763686,42.20213071787938
2020-12-02 00:00:00,46.53190417593809,45.995893473267756
2020-12-03 00:00:00,50.61054616694487,55.28922024964275
2020-12-04 00:00:00,47.38394924940183,61.37847521259434
2020-12-05 00:00:00,48.56656918743348,63.28674547114193
2020-12-06 00:00:00,39.27788109147626,72.87618314970534
2020-12-07 00:00:00,35.90229268567727,68.90779088789816
2020-12-08 00:00:00,37.17803230386888,66.47310124768227
2020-12-09 00:00:00,44.66019860472265,80.43586917395156
2020-12-10 00:00:00,52.77557873066423,85.64185315516163
2020-12-11 00:00:00,54.47035690957572,93.95573617814416
2020-12-12 00:00:00,49.24634285260128,67.5385943230782
2020-12-13 00:00:00,41.70830474365153,90.62259038171555
2020-12-14 00:00:00,39.35237683560424,76.43204483837825
2020-12-15 00:00:00,43.8174654992749,86.59598828443544
2020-12-16 00:00:00,53.73471143631193,154.23328624157645
2020-12-17 00:00:00,61.2168777371657,114.68349933133351
2020-12-18 00:00:00,60.5277921039819,122.0989261981033
2020-12-19 00:00:00,54.391205181439744,94.547957982521
2020-12-20 00:00:00,39.114921651196305,108.53603453290896
2020-12-21 00:00:00,51.28566384810467,109.47245362529969
2020-12-22 00:00:00,48.580537139457476,89.45839367225682
2020-12-23 00:00:00,53.00372194705616,113.27633983033553
2020-12-24 00:00:00,61.212221753157706,87.89938242654684
2020-12-25 00:00:00,0.0,42.44762437183046
2020-12-26 00:00:00,79.34727946431228,164.47315555998964
2020-12-27 00:00:00,34.412377803117714,95.04653787765878
2020-12-28 00:00:00,38.16975689757259,105.58757982308411
2020-12-29 00:00:00,56.22100689658319,86.46944516384208
2020-12-30 00:00:00,64.58315417494869,81.96451007071913
2020-12-31 00:00:00,80.04567706551207,81.65574485647137
2021-01-01 00:00:00,0.0,96.06394456722924
2021-01-02 00:00:00,146.74730396410013,132.10342531221286
2021-01-03 00:00:00,49.36739843680924,90.89592352219717
2021-01-04 00:00:00,52.407755994032335,103.06430999845288
2021-01-05 00:00:00,71.84648922742653,94.30246432856993
2021-01-06 00:00:00,82.79736361423925,92.81178636798036
2021-01-07 00:00:00,92.26297910250042,102.2392488521843
2021-01-08 00:00:00,90.93136767621282,128.87910659949455
2021-01-09 00:00:00,71.9116730035385,119.63639707135688
2021-01-10 00:00:00,57.32913109048687,107.40980075962823
2021-01-11 00:00:00,53.89767087659188,102.60116217708126
2021-01-12 00:00:00,69.35553778314727,116.08559710750772
2021-01-13 00:00:00,65.13721627190053,105.42054290390091
2021-01-14 00:00:00,63.8801005897409,102.96560636439008
2021-01-15 00:00:00,78.56973013497651,98.96937461605236
2021-01-16 00:00:00,56.425870192935136,95.1351180620741
2021-01-17 00:00:00,51.64883060072855,80.01827687599354
2021-01-18 00:00:00,37.25718403200486,64.34464595930226
2021-01-19 00:00:00,45.703139022514335,98.98709065293544
2021-01-20 00:00:00,55.471393471295414,48.64317555608046
2021-01-21 00:00:00,59.936482134966084,64.71921359625856
2021-01-22 00:00:00,63.8754446057329,63.31458495767246
2021-01-23 00:00:00,57.31981912247086,58.21995892258453
2021-01-24 00:00:00,44.394807516266724,54.869097089272856
2021-01-25 00:00:00,40.60018054974786,68.01945818133291
2021-01-26 00:00:00,44.669510572738645,54.666628096323514
2021-01-27 00:00:00,39.147513539252294,47.14490500825529
2021-01-28 00:00:00,53.185305323368105,49.68842173218146
2021-01-29 00:00:00,51.10408047179272,49.94656969819187
2021-01-30 00:00:00,69.9282238161311,44.40651187861539
2021-01-31 00:00:00,36.26080345429316,35.38904910513387
